transaction_id,description,amount,category
1,"Amazon Order #12345",78.50,Shopping
2,"Swiggy Food Delivery",25.00,Food & Dining
3,"IRCTC Train Ticket",1200.00,Travel & Transport
4,"Reliance Fresh Groceries",450.75,Groceries
5,"Netflix Subscription",14.99,Bills & Subscriptions
6,"Shell Fuel",65.20,Fuel
7,"Apollo Pharmacy",180.00,Health & Fitness
8,"PVR Cinemas Ticket",200.00,Entertainment
9,"Tata Power Bill",1500.00,Utilities
10,"Myntra Online Shopping",320.50,Shopping
11,"Zomato Food Order",30.00,Food & Dining
12,"MakeMyTrip Hotel Booking",2800.00,Travel & Transport
13,"Big Bazaar Groceries",580.25,Groceries
14,"Spotify Premium",10.99,Bills & Subscriptions
15,"Indian Oil Fuel",50.00,Fuel
16,"Practo Doctor Consultation",600.00,Health & Fitness
17,"BookMyShow Tickets",150.00,Entertainment
18,"BSES Rajdhani Electricity",900.00,Utilities
19,"Flipkart Order #67890",95.75,Shopping
20,"Domino's Pizza Delivery",18.50,Food & Dining
21,"Uber Ride",45.00,Travel & Transport
22,"DMart Groceries",350.00,Groceries
23,"Hotstar Subscription",79.99,Bills & Subscriptions
24,"HPCL Fuel",40.00,Fuel
25,"Fitness First Membership",2500.00,Health & Fitness
26,"Saregama Music Concert",300.00,Entertainment
27,"Tata Sky Bill",550.00,Utilities
28,"Ajio Online Shopping",220.00,Shopping
29,"Starbucks Coffee",12.00,Food & Dining
30,"Goibibo Bus Ticket",800.00,Travel & Transport
31,"Aadhar Fresh Groceries",400.50,Groceries
32,"Gaana Music Premium",9.99,Bills & Subscriptions
33,"IOCL Fuel",35.50,Fuel
34,"Cult.fit Fitness Subscription",1200.00,Health & Fitness
35,"Panchayat Entertainment App",50.00,Entertainment
36,"Adani Power Bill",1100.00,Utilities
37,"Nykaa Beauty Products",600.00,Shopping
38,"KFC Delivery",20.00,Food & Dining
39,"Ola Ride",38.00,Travel & Transport
40,"Spencer's Supermarket",380.00,Groceries
41,"Jio Cinema Subscription",29.99,Bills & Subscriptions
42,"Essar Fuel",58.00,Fuel
43,"MedPlus Pharmacy",250.00,Health & Fitness
44,"YouTube Premium",12.99,Entertainment
